type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
9,2023-01-22 14:49:53+0000,1279,4.7619047,0.12062726,4839.0,0.26426432,307.0
9,2023-01-22 13:03:33+0000,827,2.0790021,0.10320982,4652.0,0.17755333,276.0
9,2023-01-21 15:04:37+0000,9073,2.7027028,0.11214534,21974.0,0.41289303,988.0
9,2023-01-21 12:48:27+0000,926,1.0141988,0.09976057,4684.0,0.19765726,242.0
9,2022-11-27 14:26:40+0000,1210,1.098901,0.11606313,4879.0,0.24796,322.0
9,2022-11-27 12:47:30+0000,932,1.9267823,0.10165701,4718.0,0.19753459,252.0
9,2022-11-26 13:53:06+0000,1344,0.98135424,0.13417415,4835.0,0.27791598,337.0
9,2022-11-26 12:30:06+0000,1049,1.0845987,0.09672116,4705.0,0.22271618,236.0
9,2022-11-20 13:09:34+0000,1096,3.030303,0.11134618,4871.0,0.22498679,306.0
9,2022-11-20 11:11:49+0000,932,1.5151515,0.08823789,4728.0,0.1970909,239.0
9,2022-11-15 16:45:32+0000,1248,2.2222223,0.12704866,4856.0,0.25695023,313.0
9,2022-11-15 14:19:24+0000,3708,9.090909,0.09253262,4843.0,0.7653831,238.0
9,2022-11-13 14:26:42+0000,1168,3.6363635,0.113726825,4854.0,0.24040745,293.0
9,2022-11-13 12:53:36+0000,891,1.3531799,0.08727527,4647.0,0.19150113,241.0
9,2022-11-06 15:24:59+0000,1117,0.7824726,0.12096286,4793.0,0.23280764,321.0
9,2022-11-06 13:33:38+0000,931,7.0422535,0.083871506,4687.0,0.19840291,243.0
9,2022-09-11 15:37:23+0000,1285,1.1520737,0.11883541,4888.0,0.26264346,322.0
9,2022-09-11 13:44:43+0000,852,4.132231,0.09679605,4649.0,0.18325917,229.0
9,2022-09-01 01:19:39+0000,2110,5.0,0.0779241,7391.0,0.28546926,485.0
9,2022-08-31 10:45:22+0000,1705,1.310616,0.08799718,7271.0,0.23448527,450.0
9,2022-08-26 14:44:09+0000,2454,8.5470085,0.17244352,3010.0,0.81468874,213.0
9,2022-08-25 14:35:40+0000,2418,2.0408163,0.1774938,3015.0,0.8019654,213.0
9,2022-08-25 01:21:16+0000,1903,1.1641443,0.07534659,7476.0,0.25438654,487.0
9,2022-08-24 10:29:38+0000,1679,0.997009,0.07951022,7273.0,0.2308477,452.0
9,2022-08-21 13:41:12+0000,9220,2.2727273,0.124533005,5000.0,1.8436103,274.0
9,2022-08-21 12:19:17+0000,992,0.7092199,0.08557248,4676.0,0.21210533,209.0
9,2022-08-20 18:06:34+0000,1344,2.2371364,0.12687135,4847.0,0.27707577,317.0
9,2022-08-14 14:39:42+0000,1290,4.237288,0.095684625,4909.0,0.26273334,279.0
9,2022-08-14 13:08:07+0000,1009,1.5873016,0.08481764,4749.0,0.21243249,245.0
9,2022-08-13 18:47:44+0000,1363,4.5871563,0.10605579,4567.0,0.29844368,216.0
9,2022-08-13 16:17:42+0000,853,1.0204082,0.08719916,4660.0,0.18282141,237.0
9,2022-08-07 16:01:30+0000,1316,1.4430014,0.13511688,4896.0,0.2687812,318.0
9,2022-08-07 14:33:47+0000,1168,1.8832392,0.09215741,4802.0,0.24322905,247.0
9,2022-07-31 13:09:12+0000,8453,1.8552877,0.71428573,6384.0,1.323932,2.0
9,2022-07-31 11:12:53+0000,1043,1.4E-45,3.4028235E38,3465.0,0.30098218,0.0
9,2022-07-17 12:42:51+0000,1160,1.6025641,0.109998904,4854.0,0.23874685,297.0
9,2022-07-17 11:13:48+0000,742,1.6949153,0.09170105,4643.0,0.15958698,239.0
9,2022-07-16 12:05:21+0000,994,1.4E-45,3.4028235E38,3507.0,0.28313762,0.0
9,2022-07-16 10:40:20+0000,842,8.928571,0.18135655,3647.0,0.2308494,3.0
9,2022-07-09 13:31:40+0000,16699,3.448276,0.09753243,7006.0,2.383241,392.0
9,2022-07-09 11:36:12+0000,927,3.4843206,0.085280575,4718.0,0.19624105,240.0
9,2022-06-30 02:18:51+0000,2306,1.4513788,0.07033832,7373.0,0.3127427,491.0
9,2022-06-29 11:57:20+0000,1526,1.4E-45,3.4028235E38,4493.0,0.3393517,0.0
9,2022-06-26 16:47:50+0000,9010,4.878049,0.06011783,40558.0,0.22212559,2061.0
9,2022-06-25 16:00:50+0000,1266,1.9455253,0.10261673,4720.0,0.2679533,288.0
9,2022-06-25 13:33:00+0000,1302,1.9920319,0.07859782,5460.0,0.23825236,253.0
9,2022-06-25 00:53:20+0000,2425,1.2515644,0.070081994,7565.0,0.32041803,470.0
9,2022-06-03 10:38:29+0000,1885,1.6949153,0.0759763,7438.0,0.25328493,406.0
6,2022-06-01 23:08:21+0000,1881,2.43309,0.079687625,7377.0,0.25483215,457.0
9,2022-05-27 21:12:45+0000,2376,2.8985507,0.095156536,3703.0,0.6414735,231.0
9,2022-05-27 10:36:55+0000,18629,4.5454545,0.05292966,12005.0,1.5516694,581.0
9,2022-05-25 15:22:43+0000,629,0.79617834,0.13814063,2833.0,0.22195198,187.0
9,2022-05-24 14:44:29+0000,590,2.145923,0.12846865,2787.0,0.21127138,182.0
9,2022-05-21 16:05:54+0000,1096,1.1223345,0.09593247,4860.0,0.2252652,293.0
9,2022-05-21 14:23:09+0000,1457,1.2658228,0.09285051,5435.0,0.26786685,282.0
9,2022-05-15 13:50:30+0000,1208,3.2258065,0.0944287,4870.0,0.247814,276.0
9,2022-05-15 12:09:58+0000,2928,2.5,0.089855336,7915.0,0.36989143,442.0
9,2022-05-14 12:12:39+0000,1606,1.8903593,0.10039152,5182.0,0.30972302,319.0
9,2022-05-14 10:39:10+0000,950,2.65252,0.08566778,5332.0,0.1779594,270.0
9,2022-05-07 15:01:20+0000,14250,1.4992504,0.078027464,22275.0,0.6397191,1378.0
9,2021-11-13 14:39:34+0000,12458,3.846154,0.07616726,30631.0,0.40670478,1942.0
9,2021-11-10 17:01:21+0000,10062,4.166667,0.07773632,10002.0,1.0059776,646.0
9,2021-10-30 15:17:25+0000,7898,6.4935064,0.074610166,25429.0,0.31058845,1694.0
9,2021-10-02 00:07:23+0000,2730,9.708738,0.110363096,9235.0,0.29560825,56.0
9,2021-09-21 13:08:53+0000,1211,1.4E-45,3.4028235E38,2963.0,0.40824157,0.0
9,2021-09-06 11:42:50+0000,1247,1.1600928,0.06900359,3544.0,0.35154772,200.0
9,2021-09-05 11:12:43+0000,11204,2.631579,0.05712001,41368.0,0.27081162,2429.0
9,2021-08-25 11:14:53+0000,1813,2.8735633,0.10372368,7545.0,0.24027823,491.0
9,2021-08-24 23:57:48+0000,1954,0.6793478,0.07256367,10496.0,0.18616298,624.0
